case_id,CACHE,KNOWN,REF
holdout_110019_negative,4052.758949,4361.742237,4122.933907
holdout_110035_positive,4372.50713,4494.695185,4081.208551
holdout_130011_positive,4782.18159,5422.248605,4693.288438
holdout_130023_negative,5812.763162,5335.134783,5618.749538
holdout_130023_smooth,5671.541736,5199.249953,5514.163573
holdout_190030_smooth,4698.589055,4528.591673,4698.589055
holdout_190046_smooth,4006.017541,4360.749156,4006.017541
holdout_190049_negative,4569.138436,4779.907421,3799.301534
holdout_40002_negative,5150.233124,5383.413571,5474.528423
holdout_40032_spatial_hash,4118.044542,4391.754178,4804.990427
outer_holdout_120008_positive,4754.395368,4503.594984,5116.079836
outer_holdout_120008_spatial_hash,4723.966057,4530.109159,5150.415311
outer_holdout_140018_negative,5859.883141,5017.096621,5946.953629
outer_holdout_50000_positive,4805.358829,4960.917221,5296.5858
structured_dev_5_positive,1396.139297,1396.139297,1396.139297
