case_id,FREE,REF
holdout_110019_negative,4204.939601,4263.500502
holdout_110035_positive,3840.096955,4001.767246
holdout_130011_positive,4480.163147,5790.759407
holdout_130023_negative,5467.329359,5337.902622
holdout_130023_smooth,5781.272175,5514.180929
holdout_190030_smooth,4442.810091,4698.589055
holdout_190046_smooth,4050.397598,4006.027247
holdout_190049_negative,3810.586409,3736.458716
holdout_40002_negative,4932.56713,5579.8389
holdout_40032_spatial_hash,3987.144407,4804.990427
outer_holdout_120008_positive,4159.772159,4692.53371
outer_holdout_120008_spatial_hash,4259.810654,5150.415311
outer_holdout_140018_negative,4858.507134,5946.907011
outer_holdout_50000_positive,4172.102159,5296.854551
structured_dev_5_positive,1396.164592,1396.164592
