case_id,PHASE,REF
holdout_110019_negative,4754.3486,4263.500502
holdout_110035_positive,4308.790159,4001.767246
holdout_130011_positive,4645.187042,5790.759407
holdout_130023_negative,4875.31957,5337.902622
holdout_130023_smooth,5055.511533,5514.180929
holdout_40002_negative,5042.928367,5579.8389
holdout_40032_spatial_hash,3862.378081,4804.990427
outer_holdout_120008_positive,4692.53371,4692.53371
outer_holdout_120008_spatial_hash,5150.415311,5150.415311
outer_holdout_140018_negative,5946.907011,5946.907011
outer_holdout_50000_positive,5296.854551,5296.854551
structured_dev_5_positive,1396.164592,1396.164592
