case_id,CACHE,KNOWN,REF
holdout_110019_negative,4714.65518,4205.549019,4263.500502
holdout_110035_positive,3873.364606,4399.13997,4001.767246
holdout_130011_positive,4971.256255,5082.851428,5790.759407
holdout_130023_negative,5189.022684,5003.18347,5337.902622
holdout_130023_smooth,5671.558204,5199.267309,5514.180929
holdout_190030_smooth,4698.589055,4528.599955,4698.589055
holdout_190046_smooth,4006.027247,4360.758862,4006.027247
holdout_190049_negative,4562.05342,4450.88003,3736.458716
holdout_40002_negative,5150.359156,5383.299843,5579.8389
holdout_40032_spatial_hash,4118.044542,4391.754178,4804.990427
outer_holdout_120008_positive,4207.507155,4362.85623,4692.53371
outer_holdout_120008_spatial_hash,4723.966057,4530.109159,5150.415311
outer_holdout_140018_negative,5859.828421,5186.420108,5946.907011
outer_holdout_50000_positive,4760.222441,4960.955438,5296.854551
structured_dev_5_positive,1396.164592,1396.164592,1396.164592
